Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-05-14,256.1811122938288,257.4620666503906,0.009043458271355886,1.9525466994872431,262.86829503377277,263.5726790655227,1,0.0,0,0.0,0.00900281107959388,0.0796327982531154,0.08288935579604795,-0.0,0.07834501540917518,0.08149572699999319
2019-05-15,255.81774113218242,258.97015380859375,0.005857512051478109,3.0063822930405024,262.20132064819336,263.36026800246464,1,0.0,0,0.0,0.005840423526118649,0.08547322177923404,0.08923239324804078,0.0,0.07834501540917518,0.08149572699999319
2019-05-16,259.6787809851813,261.3685607910156,0.009261325859946545,2.13422561928445,261.7228584289551,263.25385030110675,1,0.0,0,0.0,0.009218702743875547,0.0946919245231096,0.09932012937912038,-0.0,0.07834501540917518,0.08149572699999319
2019-05-17,259.04291630415725,259.6788330078125,-0.0064649236239020524,2.1615071486210695,261.2708880106608,263.0976802280971,1,0.0,0,0.0,-0.0064859117492875205,0.08820601277382208,0.0922131087044662,-0.0,0.07834501540917518,0.08149572699999319
2019-05-20,258.06174158185127,257.9618225097656,-0.006612054121466371,1.5800690253507241,260.7235399881999,262.83509245372954,1,0.0,0,0.0,-0.006634010589741123,0.08157200218408095,0.08499133651753721,0.0,0.07834501540917518,0.08149572699999319
2019-05-21,259.66969081644834,260.2874755859375,0.009015493275497555,0.25370135422974727,260.1542269388835,262.67243230910526,1,0.0,0,0.0,0.008975096333363413,0.09054709851744436,0.09477306861588408,-0.0,0.07834501540917518,0.08149572699999319
2019-05-22,259.32451806258683,259.488037109375,-0.0030713674361890764,0.4444736956105544,259.6098976135254,262.35879589262464,1,0.0,0,0.0,-0.003076093765162722,0.08747100475228163,0.0914106182629204,-0.0,0.07834501540917518,0.08149572699999319
2019-05-23,257.24417131357586,256.3175354003906,-0.012218296243259985,1.3983631912729493,259.1715710957845,261.92230151948473,1,0.0,0,0.0,-0.012293553261425047,0.07517745149085658,0.07807544000594469,0.0,0.07834501540917518,0.08149572699999319
2019-05-24,257.7709633986957,256.8988342285156,0.002267885524168234,0.9168987174688823,258.8119646708171,261.5212758382161,1,0.0,0,0.0,0.0022653177533335784,0.07744276924419016,0.08052039169029546,-0.0,0.07834501540917518,0.08149572699999319
2019-05-28,257.1805354001023,254.50961303710938,-0.009300241468908288,2.652064503207157,258.3191210428874,260.94763837541853,1,0.0,0,0.0,-0.009343758738832026,0.06809901050535813,0.07047129113549633,-0.0,0.07834501540917518,0.08149572699999319
2019-05-29,253.382997287688,252.8015594482422,-0.006711155498154597,1.4074554066506266,257.5749231974284,260.2727675664993,1,0.0,0,0.0,-0.006733776568032389,0.06136523393732574,0.06328719184437559,0.0,0.07834501540917518,0.08149572699999319
2019-05-30,253.5647313132805,253.4920654296875,0.002731415039339158,1.0259115268187884,257.43637975056964,259.6242893763951,1,0.0,0,0.0,0.0027276915040863026,0.06409292544141204,0.06619147047131602,-0.0,0.07834501540917518,0.08149572699999319
2019-05-31,250.92107560309483,250.076171875,-0.013475347044481722,0.7079392704037559,256.8208885192871,258.9087509881882,1,0.0,0,0.0,-0.013566963506815494,0.05052596193459655,0.051824170390848856,-0.0,0.07834501540917518,0.08149572699999319
2019-06-03,250.1125405085386,249.44027709960938,-0.002542804340864846,2.1433193877503527,256.02673212687176,258.19019281296505,1,0.0,0,0.0,-0.002546042758763065,0.04797991917583348,0.049149587324552435,0.0,0.07834501540917518,0.08149572699999319
